,id,room,area,price,price_per_area_metr,region,complex_Label
0,1,2,70.82,27619800,390001,Аль-Фарабийский р-н,Новостройка
1,2,2,60.83,23419550,385000,Каратауский р-н,Новостройка
2,3,2,70.0,28500000,407143,Каратауский р-н,Новостройка
3,4,3,66.6,29000000,435436,Аль-Фарабийский р-н,Новостройка
4,5,2,77.0,33000000,428572,Каратауский р-н,Новостройка
5,6,1,42.0,14000000,333334,Каратауский р-н,Новостройка
6,7,2,60.0,28500000,475000,Каратауский р-н,Новостройка
7,8,2,70.81,39441170,557000,Каратауский р-н,Новостройка
8,9,4,111.42,40668300,365000,Каратауский р-н,Новостройка
9,10,2,61.0,28000000,459017,Каратауский р-н,Новостройка
10,11,3,80.3,38500000,479453,Аль-Фарабийский р-н,Новостройка
11,12,3,84.27,41039490,487000,Каратауский р-н,Новостройка
12,13,2,70.46,25717900,365001,Каратауский р-н,Новостройка
13,14,3,60.0,24000000,400000,Аль-Фарабийский р-н,Новостройка
14,15,1,42.4,22000000,518868,Каратауский р-н,Новостройка
15,16,1,40.0,19500000,487500,Каратауский р-н,Новостройка
16,17,3,86.17,33606300,390000,Аль-Фарабийский р-н,Новостройка
17,18,3,114.7,54941300,479000,Каратауский р-н,Новостройка
18,19,2,76.18,27043900,355000,Каратауский р-н,Новостройка
19,20,3,113.31,41358150,365000,Каратауский р-н,Новостройка
20,21,4,60.0,24000000,400000,Абайский р-н,N/A
21,22,1,25.0,10000000,400000,Енбекшинский р-н,Новостройка
22,23,4,138.44,63820840,461000,Каратауский р-н,Новостройка
23,24,3,92.95,36250500,390000,Аль-Фарабийский р-н,Новостройка
24,25,2,47.5,19000000,400000,Аль-Фарабийский р-н,Новостройка
25,26,3,80.32,29316800,365001,Каратауский р-н,Новостройка
26,27,4,140.29,92731690,661000,Каратауский р-н,Новостройка
27,28,2,56.2,29500000,524912,Аль-Фарабийский р-н,Новостройка
28,29,2,87.24,30534000,350000,Каратауский р-н,Новостройка
